,Small Freighter,Mid-size Old Freighter,Large Freighter
LHR,3596.35,5616.26,10600.4
CDG,2701.75,4322.55,8250.92
AMS,2343.57,3804.56,7310.21
FRA,750.0,1500.0,3125.0
MAD,6931.72,10439.74,19360.12
BCN,5503.76,8374.69,15609.87
MUC,2050.16,3380.23,6539.62
FCO,4914.76,7522.9,14062.97
DUB,5474.64,8332.57,15533.39
ARN,6066.26,9188.14,17087.14
LIS,8895.22,13279.25,24516.88
TXL,2626.56,4213.8,8053.42
HEL,7435.09,11167.69,20682.14
WAW,4645.69,7133.78,13356.3
EDI,5239.91,7993.11,14916.9
OTP,7048.65,10608.84,19667.23
HER,9941.07,14791.74,27263.63
KEF,11187.77,16594.65,30537.83
PMO,6740.46,10163.14,18857.81
FNC,13077.8,19327.93,35501.64
